Epoka;Architektura;Model;Czas epoki [s];Czas epoki [min]
1;CPU;Prosty;76;1,27
2;CPU;Prosty;69;1,15
3;CPU;Prosty;66;1,10
4;CPU;Prosty;69;1,15
5;CPU;Prosty;68;1,13
6;CPU;Prosty;81;1,35
7;CPU;Prosty;69;1,15
8;CPU;Prosty;68;1,13
9;CPU;Prosty;82;1,37
10;CPU;Prosty;68;1,13
1;CPU;Ulepszony;448;7,47
2;CPU;Ulepszony;422;7,03
3;CPU;Ulepszony;424;7,07
4;CPU;Ulepszony;425;7,08
5;CPU;Ulepszony;439;7,32
6;CPU;Ulepszony;435;7,25
7;CPU;Ulepszony;440;7,33
8;CPU;Ulepszony;420;7,00
9;CPU;Ulepszony;462;7,70
10;CPU;Ulepszony;411;6,85
1;GPU;Prosty;19;0,32
2;GPU;Prosty;6;0,10
3;GPU;Prosty;2;0,03
4;GPU;Prosty;2;0,03
5;GPU;Prosty;2;0,03
6;GPU;Prosty;1;0,02
7;GPU;Prosty;2;0,03
8;GPU;Prosty;2;0,03
9;GPU;Prosty;1;0,02
10;GPU;Prosty;2;0,03
1;GPU;Ulepszony;82;1,37
2;GPU;Ulepszony;61;1,02
3;GPU;Ulepszony;64;1,07
4;GPU;Ulepszony;82;1,37
5;GPU;Ulepszony;65;1,08
6;GPU;Ulepszony;83;1,38
7;GPU;Ulepszony;64;1,07
8;GPU;Ulepszony;63;1,05
9;GPU;Ulepszony;64;1,07
10;GPU;Ulepszony;63;1,05
